
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             PC030107:0             LISTENING
  TCP    0.0.0.0:135            PC030107:0             LISTENING
  TCP    0.0.0.0:445            PC030107:0             LISTENING
  TCP    0.0.0.0:623            PC030107:0             LISTENING
  TCP    0.0.0.0:3389           PC030107:0             LISTENING
  TCP    0.0.0.0:5357           PC030107:0             LISTENING
  TCP    0.0.0.0:16992          PC030107:0             LISTENING
  TCP    0.0.0.0:27401          PC030107:0             LISTENING
  TCP    0.0.0.0:49152          PC030107:0             LISTENING
  TCP    0.0.0.0:49153          PC030107:0             LISTENING
  TCP    0.0.0.0:49154          PC030107:0             LISTENING
  TCP    0.0.0.0:49155          PC030107:0             LISTENING
  TCP    0.0.0.0:49156          PC030107:0             LISTENING
  TCP    0.0.0.0:49157          PC030107:0             LISTENING
  TCP    0.0.0.0:49158          PC030107:0             LISTENING
  TCP    0.0.0.0:57621          PC030107:0             LISTENING
  TCP    0.0.0.0:62700          PC030107:0             LISTENING
  TCP    0.0.0.0:62702          PC030107:0             LISTENING
  TCP    10.21.251.1:139        PC030107:0             LISTENING
  TCP    10.21.251.1:49211      stdbdecsup01:ms-sql-s  ESTABLISHED
  TCP    10.21.251.1:49320      pa-in-f189:https       ESTABLISHED
  TCP    10.21.251.1:49467      vhqstdb1:microsoft-ds  ESTABLISHED
  TCP    10.21.251.1:49539      pc-in-f189:https       ESTABLISHED
  TCP    10.21.251.1:49576      151.101.52.246:http    ESTABLISHED
  TCP    10.21.251.1:50271      cache:https            ESTABLISHED
  TCP    10.21.251.1:50393      vchdfsp04:microsoft-ds  ESTABLISHED
  TCP    10.21.251.1:50397      vchdfsp03:microsoft-ds  ESTABLISHED
  TCP    10.21.251.1:50628      cache:https            ESTABLISHED
  TCP    10.21.251.1:50908      sea15s02-in-f165:https  ESTABLISHED
  TCP    10.21.251.1:50919      151.101.129.69:http    ESTABLISHED
  TCP    10.21.251.1:50929      151.101.193.69:http    ESTABLISHED
  TCP    10.21.251.1:50934      stackoverflow:https    ESTABLISHED
  TCP    10.21.251.1:50941      cache:https            ESTABLISHED
  TCP    10.21.251.1:50953      cache:https            ESTABLISHED
  TCP    10.21.251.1:50983      172.217.3.170:https    ESTABLISHED
  TCP    10.21.251.1:50985      pa-in-f156:https       ESTABLISHED
  TCP    10.21.251.1:51006      cache:https            ESTABLISHED
  TCP    10.21.251.1:51048      cache:https            ESTABLISHED
